T_C,hyland_Pa,virial_greenspan_Pa,magnus_Pa,pct_diff_virial,pct_diff_magnus
-40,0.000000,0.000000,18.421205,-1.012505,1030416957339.344604
-39,0.000000,0.000000,20.455446,-1.007467,1040616370645.012695
-38,0.000000,0.000000,22.690463,-1.002471,1050736800967.631348
-37,0.000000,0.000000,25.143636,-0.997517,1060778771235.369263
-36,0.000000,0.000000,27.833629,-0.992606,1070742853460.169434
-35,0.000000,0.000000,30.780467,-0.987735,1080629665843.822144
-34,0.000000,0.000000,34.005613,-0.982906,1090439869987.044922
-33,0.000000,0.000000,37.532057,-0.978116,1100174168199.961426
-32,0.000000,0.000000,41.384401,-0.973366,1109833300912.388916
-31,0.000000,0.000000,45.588950,-0.968655,1119418044182.245361
-30,0.000000,0.000000,50.173809,-0.963984,1128929207300.114258
-29,0.000000,0.000000,55.168982,-0.959350,1138367630488.018066
-28,0.000000,0.000000,60.606472,-0.954754,1147734182690.362549
-27,0.000000,0.000000,66.520390,-0.950195,1157029759454.976074
-26,0.000000,0.000000,72.947068,-0.945673,1166255280901.895752
-25,0.000000,0.000000,79.925170,-0.941188,1175411689777.894531
-24,0.000000,0.000000,87.495814,-0.936739,1184499949594.295410
-23,0.000000,0.000000,95.702697,-0.932325,1193521042845.950928
-22,0.000000,0.000000,104.592218,-0.927946,1202475969308.941406
-21,0.000000,0.000000,114.213619,-0.923602,1211365744414.786621
-20,0.000000,0.000000,124.619112,-0.919293,1220191397698.873047
-19,0.000000,0.000000,135.864028,-0.915017,1228953971320.724609
-18,0.000000,0.000000,148.006962,-0.910774,1237654518653.927490
-17,0.000000,0.000000,161.109920,-0.906565,1246294102943.349609
-16,0.000000,0.000000,175.238481,-0.902389,1254873796027.521484
-15,0.000000,0.000000,190.461949,-0.898245,1263394677123.890381
-14,0.000000,0.000000,206.853529,-0.894132,1271857831674.802490
-13,0.000000,0.000000,224.490486,-0.890052,1280264350252.074707
-12,0.000000,0.000000,243.454328,-0.886002,1288615327518.031982
-11,0.000000,0.000000,263.830983,-0.881984,1296911861240.940674
-10,0.000000,0.000000,285.710982,-0.877996,1305155051362.907715
-9,0.000000,0.000000,309.189654,-0.874038,1313345999118.065918
-8,0.000000,0.000000,334.367316,-0.870110,1321485806199.362305
-7,0.000000,0.000000,361.349474,-0.866211,1329575573971.875732
-6,0.000000,0.000000,390.247030,-0.862342,1337616402730.874512
-5,0.000000,0.000000,421.176492,-0.858502,1345609391002.899658
-4,0.000000,0.000000,454.260186,-0.854690,1353555634888.053467
-3,0.000000,0.000000,489.626479,-0.850906,1361456227441.746338
-2,0.000000,0.000000,527.410004,-0.847150,1369312258094.448975
-1,0.000000,0.000000,567.751891,-0.843422,1377124812107.650635
0,611.212867,606.080387,610.800000,-0.839721,-0.067549
