
TaskName                                                                      LastRunTim
                                                                              e
--------                                                                      ----------
AvastBrowserProtectS-1-5-21-4145920242-3820320187-358418441-1001              31/01/202…
MeteoSer Official Watchdog                                                    31/01/202…
MeteoSer Health Monitor                                                       31/01/202…
RefreshCache                                                                  31/01/202…
RestoreDevice                                                                 31/01/202…
QueueReporting                                                                31/01/202…
UsageDataReceiver                                                             31/01/202…
Installation                                                                  31/01/202…
Adobe Acrobat Update Task                                                     31/01/202…
OneDrive Startup Task-S-1-5-21-4145920242-3820320187-358418441-1001           31/01/202…
UsageDataFlushing                                                             31/01/202…
ScanForUpdates                                                                31/01/202…
PowerGridForecastTask                                                         31/01/202…
Work Folders Logon Synchronization                                            31/01/202…
ReconcileFeatures                                                             31/01/202…
CDSSync                                                                       31/01/202…
DXGIAdapterCache                                                              31/01/202…
RecoverabilityToastTask                                                       31/01/202…
Synchronize Language Settings                                                 31/01/202…
UserTask-Roam                                                                 31/01/202…
MoProfileManagement                                                           31/01/202…
.NET Framework NGEN v4.0.30319 64 Critical                                    31/01/202…
.NET Framework NGEN v4.0.30319 Critical                                       31/01/202…
UnifiedConsentSyncTask                                                        31/01/202…
AutomaticOfflineMemoryDiagnostic                                              31/01/202…
Calibration Loader                                                            31/01/202…
NcsiIdentifyUserProxies                                                       31/01/202…
CacheTask                                                                     31/01/202…
SystemSoundsService                                                           31/01/202…
MicTray                                                                       31/01/202…
MeteoSer - Arranque                                                           31/01/202…
MsCtfMonitor                                                                  31/01/202…
Device Install Reboot Required                                                31/01/202…
UserTask                                                                      31/01/202…
ForceSynchronizeTime                                                          31/01/202…
EnableLicenseAcquisition                                                      31/01/202…
OobeDiscovery                                                                 31/01/202…
ExploitGuard MDM policy Refresh                                               31/01/202…
MaintenanceTasks                                                              31/01/202…
ResPriStaticDbSync                                                            31/01/202…
LPRemove                                                                      31/01/202…
StorageSense                                                                  31/01/202…
Diagnostics                                                                   31/01/202…
.NET Framework NGEN v4.0.30319                                                31/01/202…
.NET Framework NGEN v4.0.30319 64                                             31/01/202…
RegIdleBackup                                                                 31/01/202…
AnalyzeSystem                                                                 31/01/202…
ProactiveScan                                                                 31/01/202…
IndexerAutomaticMaintenance                                                   31/01/202…
maintenancetasks                                                              31/01/202…
DsSvcCleanup                                                                  31/01/202…
File History (maintenance mode)                                               31/01/202…
Monitoring                                                                    31/01/202…
VerifiedPublisherCertStoreCheck                                               31/01/202…
Proxy                                                                         31/01/202…
PITRTask                                                                      31/01/202…
LocalUserSyncDataAvailable                                                    31/01/202…
PcaPatchDbTask                                                                31/01/202…
Device                                                                        31/01/202…
MeteoSer Backup                                                               31/01/202…
UnexpectedCodepath                                                            30/01/202…
ReconcileLanguageResources                                                    30/01/202…
OneDrive Standalone Update Task-S-1-5-21-4145920242-3820320187-358418441-1001 30/01/202…
OneDrive Reporting Task-S-1-5-21-4145920242-3820320187-358418441-1001         30/01/202…
Device User                                                                   30/01/202…
DmClient                                                                      30/01/202…
appuriverifierdaily                                                           30/01/202…
Work Folders Maintenance Work                                                 30/01/202…
SynchronizeTime                                                               30/01/202…
StartupAppTask                                                                30/01/202…
Backup                                                                        30/01/202…
SilentCleanup                                                                 30/01/202…
UsageDataReporting                                                            30/01/202…
ThemesSyncedImageDownload                                                     30/01/202…
ScanForUpdatesAsUser                                                          30/01/202…
Logon                                                                         30/01/202…
ProcessMemoryDiagnosticEvents                                                 30/01/202…
Backup                                                                        30/01/202…
WarrantyChecker_DeviceScan                                                    30/01/202…
SR                                                                            29/01/202…
SustainabilityTelemetry                                                       29/01/202…
PrinterCleanupTask                                                            29/01/202…
ResolutionHost                                                                29/01/202…
DirectXDatabaseUpdater                                                        29/01/202…
ScheduledDefrag                                                               28/01/202…
SynchronizeTimeZone                                                           28/01/202…
WsSwapAssessmentTask                                                          27/01/202…
StartComponentCleanup                                                         27/01/202…
La57Cleanup                                                                   27/01/202…
Scheduled                                                                     27/01/202…
CleanupTemporaryState                                                         26/01/202…
WinSAT                                                                        26/01/202…
CreateObjectTask                                                              26/01/202…
BgTaskRegistrationMaintenanceTask                                             25/01/202…
BackupNonMaintenance                                                          24/01/202…
MeteoSer Estado Monitor                                                       20/01/202…
appuriverifierinstall                                                         20/01/202…
Cellular                                                                      05/01/202…
PrintJobCleanupTask                                                           26/12/202…
GovernedFeatureUsageProcessing                                                26/12/202…
CmCleanup                                                                     13/11/202…
HP Support Assistant Update Notice                                            10/09/202…
Microsoft-Windows-DiskDiagnosticDataCollector                                 18/08/202…
PolicyConverter                                                               16/08/202…
DmClientOnScenarioDownload                                                    28/07/202…
Consolidator                                                                  28/07/202…
UsbCeip                                                                       26/07/202…
VerifyWinRE                                                                   16/07/202…
Pre-staged app cleanup                                                        03/07/202…
BootstrapUsageDataReporting                                                   02/07/202…
ReconcileConfigs                                                              01/07/202…
MdmDiagnosticsCleanup                                                         01/07/202…
OOBEFodSetup                                                                  01/07/202…
PenSyncDataAvailable                                                          01/07/202…
CreateObjectTask                                                              01/07/202…
RecommendedTroubleshootingScanner                                             01/07/202…
SvcRestartTaskLogon                                                           01/07/202…
UpdateUserPictureTask                                                         30/11/199…
UpdateLibrary                                                                 30/11/199…
Device-Sync                                                                   30/11/199…
FamilySafetyMonitor                                                           30/11/199…
XblGameSaveTask                                                               30/11/199…
FamilySafetyRefreshTask                                                       30/11/199…
Recovery-Check                                                                30/11/199…
HybridDriveCacheRebalance                                                     30/11/199…
SpaceAgentTask                                                                30/11/199…
Interactive                                                                   30/11/199…
Automatic-Device-Join                                                         30/11/199…
Scheduled Start                                                               30/11/199…
SpaceManagerTask                                                              30/11/199…
Storage Tiers Optimization                                                    30/11/199…
BfeOnServiceStartTypeChange                                                   30/11/199…
Storage Tiers Management Initialization                                       30/11/199…
LicenseAcquisition                                                            30/11/199…
Usb-Notifications                                                             30/11/199…
UPnPHostConfig                                                                30/11/199…
HybridDriveCachePrepopulate                                                   30/11/199…
UpdateUserPictureTaskContained                                                30/11/199…
WiFiTask                                                                      30/11/199…
DetectHardwareChange                                                          30/11/199…
