cluster_id,size,funcionales_count,no_funcionales_count,solo_backups_count,recommendation,members
3,3,3,0,0,fusionar_activas,ach_recomendado_bano;ach_recomendado_cocina;ach_recomendado_salon
38,5,0,5,5,recuperar_o_revisar_backups,alerta_calor_activa;alerta_frio_activa;alerta_polvo_activa;alerta_rachas_activa;alerta_rayos_activa
19,5,0,5,5,recuperar_o_revisar_backups,alerta_calor_componente_humedad;alerta_calor_componente_uv;alerta_tormenta_componente_humedad;alerta_tormenta_componente_presion;alerta_tormenta_componente_radiacion
20,2,0,2,2,recuperar_o_revisar_backups,alerta_calor_componente_temperatura;alerta_frio_componente_temperatura
22,2,0,2,2,recuperar_o_revisar_backups,alerta_calor_extremo_score;alerta_frio_extremo_score
33,4,0,4,4,recuperar_o_revisar_backups,alerta_frio_componente_viento;alerta_polvo_componente_pm10;alerta_polvo_componente_pm25;alerta_polvo_componente_viento
27,2,0,2,2,recuperar_o_revisar_backups,alerta_helada_radiativa_activa;alerta_helada_radiativa_score
47,2,2,0,0,fusionar_activas,altitud;latitud
60,2,2,0,0,fusionar_activas,angulo_horario_puesta_sol;angulo_horario_puesta_sol_deg
65,2,2,0,0,fusionar_activas,aod_angstrom_310nm;aod_angstrom_500nm
76,2,2,0,0,fusionar_activas,ashrae55_limite_inferior_80;ashrae55_limite_superior_80
80,2,2,0,0,fusionar_activas,auto_discovery_modules_scanned;auto_discovery_motores_escaneados
94,2,2,0,0,fusionar_activas,beaufort_10_temporal_muy_fuerte;beaufort_9_temporal_fuerte
98,2,2,0,0,fusionar_activas,beaufort_2_brisa_muy_debil;beaufort_3_brisa_debil
102,2,2,0,0,fusionar_activas,beaufort_5_brisa_fresca;beaufort_6_brisa_fuerte
106,6,6,0,0,fusionar_activas,bias_temperatura;isa_temperatura;mae_temperatura;mse_temperatura;rmse_temperatura;z_score_temperatura
114,2,2,0,0,fusionar_activas,brunt_coef_a;brunt_coef_b
126,2,2,0,0,fusionar_activas,calor_especifico_agua;calor_especifico_vapor
128,3,3,0,0,fusionar_activas,calor_especifico_aire_seco;calor_especifico_dinamico;calor_especifico_hielo
134,2,2,0,0,fusionar_activas,calor_latente_vaporizacion;calor_latente_vaporizacion_0c
152,2,2,0,0,fusionar_activas,categoria_estres_calor;categoria_estres_ganado
626,5,5,0,0,fusionar_activas,categoria_historica_temperatura;maximo_historico_temperatura;media_historica_temperatura;minimo_historico_temperatura;rango_historico_temperatura
181,2,2,0,0,fusionar_activas,coeficiente_angstrom_alpha;coeficiente_angstrom_beta
193,2,2,0,0,fusionar_activas,coherencia_general_sensores;coherencia_sensores
