name,files
"aceleracion_temperatura","core\system\bus_expander.py"
"aceleracion_viento","core\system\bus_expander.py"
"ach_minimo_dormitorio","core\system\bus_expander.py"
"ach_recomendado_bano","core\system\bus_expander.py"
"ach_recomendado_cocina","core\system\bus_expander.py"
"ach_recomendado_dormitorio","core\system\bus_expander.py"
"ach_recomendado_salon","core\system\bus_expander.py"
"airmass_correccion_presion","core\system\bus_expander.py"
"albedo_agua","core\system\bus_expander.py"
"albedo_base_cobertura","core\system\bus_expander.py"
"albedo_cesped","core\system\bus_expander.py"
"albedo_cultivo_verde","core\system\bus_expander.py"
"albedo_dinamico","core\system\bus_expander.py"
"albedo_nieve_fresca","core\system\bus_expander.py"
"albedo_nieve_vieja","core\system\bus_expander.py"
"albedo_suelo_desnudo","core\system\bus_expander.py"
"albedo_superficie","core\system\bus_expander.py"
"alerta_polvo_draxler_score","core\system\bus_expander.py"
"alerta_tormenta_activa","core\system\bus_expander.py"
"alerta_tormenta_score","core\system\bus_expander.py;core\system\bus_expander.py"
"altitud","core\system\bus_expander.py"
"altitud_estacion","core\system\bus_expander.py"
"altitud_inversion_estimada","core\system\bus_expander.py"
"altura_capa_limite_estimada","core\system\bus_expander.py"
"altura_capa_mezcla_m","core\system\bus_expander.py"
"altura_geopotencial","core\system\bus_expander.py"
"altura_medicion_viento","core\system\bus_expander.py"
"altura_referencia_viento","core\system\bus_expander.py"
"altura_turbulencia_efectiva_m","core\system\bus_expander.py"
"amplitud_ciclo_termico","core\system\bus_expander.py"
"amplitud_termica_diurna","core\system\bus_expander.py"
"angulo_cenital_deg","core\system\bus_expander.py"
"angulo_horario_puesta_sol","core\system\bus_expander.py"
"angulo_horario_puesta_sol_deg","core\system\bus_expander.py"
"anomalia_presion","core\system\bus_expander.py"
"anomalia_temperatura","core\system\bus_expander.py"
"aod_angstrom_310nm","core\system\bus_expander.py"
"aod_angstrom_500nm","core\system\bus_expander.py"
"aod_base_koschmieder","core\system\bus_expander.py"
"aptitud_vuelo_cetreria","core\system\bus_expander.py"
"aqi_compuesto","core\system\bus_expander.py"
"aqi_pm10","core\system\bus_expander.py"
"aqi_pm25","core\system\bus_expander.py"
"arco_solar","core\system\bus_expander.py;core\system\bus_expander.py"
"area_superficial_cuerpo_dubois","core\system\bus_expander.py"
"ashrae55_aceptabilidad","core\system\bus_expander.py"
"ashrae55_limite_inferior_80","core\system\bus_expander.py"
"ashrae55_limite_superior_80","core\system\bus_expander.py"
"ashrae55_temp_confort","core\system\bus_expander.py"
"auto_discovery_enabled","core\system\bus_expander.py"
"auto_discovery_modules_scanned","core\system\bus_expander.py"
"auto_discovery_motores_escaneados","core\system\bus_expander.py"
"auto_discovery_subfactores_encontrados","core\system\bus_expander.py"
"auto_discovery_timestamp","core\system\bus_expander.py"
"auto_discovery_version","core\system\bus_expander.py"
"azimut_solar","core\system\bus_expander.py"
"balance_energetico_W","core\system\bus_expander.py"
"balance_hidrico_24h","core\system\bus_expander.py"
"balance_hidrico_anual_mm","core\system\bus_expander.py"
"barro_campo_bucket_pct","core\system\bus_expander.py"
"base_calefaccion","core\system\bus_expander.py"
"base_refrigeracion","core\system\bus_expander.py"
"beaufort_0_calma","core\system\bus_expander.py"
"beaufort_10_temporal_muy_fuerte","core\system\bus_expander.py"
"beaufort_11_tempestad","core\system\bus_expander.py"
"beaufort_12_huracan","core\system\bus_expander.py"
"beaufort_1_ventolina","core\system\bus_expander.py"
"beaufort_2_brisa_muy_debil","core\system\bus_expander.py"
"beaufort_3_brisa_debil","core\system\bus_expander.py"
"beaufort_4_brisa_moderada","core\system\bus_expander.py"
"beaufort_5_brisa_fresca","core\system\bus_expander.py"
"beaufort_6_brisa_fuerte","core\system\bus_expander.py"
"beaufort_7_viento_fuerte","core\system\bus_expander.py"
"beaufort_8_temporal","core\system\bus_expander.py"
"beaufort_9_temporal_fuerte","core\system\bus_expander.py"
"bias_temperatura","core\system\bus_expander.py"
"biotemperatura_holdridge","core\system\bus_expander.py"
"bochorno_insoportable","core\system\bus_expander.py"
"bochorno_intenso","core\system\bus_expander.py"
"bochorno_ligero","core\system\bus_expander.py"
"bochorno_moderado","core\system\bus_expander.py"
"bochorno_sin","core\system\bus_expander.py"
"brier_score_prediccion","core\system\bus_expander.py"
"brunt_coef_a","core\system\bus_expander.py"
"brunt_coef_b","core\system\bus_expander.py"
"brunt_factor_nubosidad_0_despejado","core\system\bus_expander.py"
"brunt_factor_nubosidad_100_cubierto","core\system\bus_expander.py"
"brunt_factor_nubosidad_50_parcial","core\system\bus_expander.py"
"brunt_vaisala_N2","core\system\bus_expander.py"
"brunt_vaisala_frequency","core\system\bus_expander.py"
"bus_expander_version","core\system\bus_expander.py"
"calidad_aire_categoria","core\system\bus_expander.py"
"calidad_datos_temperatura","core\system\bus_expander.py"
"calidad_estimacion_geografica","core\system\bus_expander.py"
"calidad_ventilacion_pct","core\system\bus_expander.py"
"calor_especifico_agua","core\system\bus_expander.py"
"calor_especifico_aire_seco","core\system\bus_expander.py"
"calor_especifico_dinamico","core\system\bus_expander.py"
"calor_especifico_hielo","core\system\bus_expander.py"
"calor_especifico_vapor","core\system\bus_expander.py"
"calor_fusion_hielo","core\system\bus_expander.py"
"calor_latente_fusion","core\system\bus_expander.py"
"calor_latente_sublimacion_0c","core\system\bus_expander.py"
"calor_latente_vaporizacion","core\system\bus_expander.py;core\system\bus_expander.py"
"calor_latente_vaporizacion_0c","core\system\bus_expander.py"
"cambio_nubosidad_rapido","core\system\bus_expander.py"
"cambio_rapido_presion","core\system\bus_expander.py"
"cambio_rapido_temperatura","core\system\bus_expander.py"
"capacidad_campo_mm","core\system\bus_expander.py"
"cape","core\system\bus_expander.py;core\system\bus_expander.py;core\system\bus_expander.py;core\system\bus_expander.py;core\system\bus_expander.py"
"cape_categoria","core\system\bus_expander.py;core\system\bus_expander.py"
"cape_debil","core\system\bus_expander.py"
"cape_fuerte","core\system\bus_expander.py"
"cape_j_kg","core\system\bus_expander.py"
"cape_moderado","core\system\bus_expander.py"
"carga_electron","core\system\bus_expander.py"
"carga_termica_edificio","core\system\bus_expander.py"
"categoria_aridez","core\system\bus_expander.py"
"categoria_calidad_ambiental","core\system\bus_expander.py"
"categoria_cape","core\system\bus_expander.py"
"categoria_confort_ashrae","core\system\bus_expander.py"
"categoria_estres_calor","core\system\bus_expander.py"
"categoria_estres_ganado","core\system\bus_expander.py"
"categoria_historica_temperatura","core\system\bus_expander.py"
"categoria_humedad_suelo","core\system\bus_expander.py"
"categoria_lang","core\system\bus_expander.py"
"categoria_martonne","core\system\bus_expander.py"
"categoria_ozono","core\system\bus_expander.py"
"caudal_ventilacion","core\system\bus_expander.py"
"chi_squared_coherencia","core\system\bus_expander.py"
"ciclo_diurno_completado","core\system\bus_expander.py"
"cielo_observable_nocturno_score","core\system\bus_expander.py"
"cin","core\system\bus_expander.py;core\system\bus_expander.py;core\system\bus_expander.py"
"cin_j_kg","core\system\bus_expander.py"
"clasificacion_estabilidad","core\system\bus_expander.py"
"clo_aislamiento_ropa","core\system\bus_expander.py"
"clo_desnudo","core\system\bus_expander.py"
"clo_invierno","core\system\bus_expander.py"
"clo_traje","core\system\bus_expander.py"
"clo_verano","core\system\bus_expander.py"
"cn2_estructura_refractiva","core\system\bus_expander.py;core\system\bus_expander.py"
"co2_aceptable","core\system\bus_expander.py"
"co2_bueno","core\system\bus_expander.py"
"co2_categoria","core\system\bus_expander.py"
"co2_excelente","core\system\bus_expander.py"
"co2_malo","core\system\bus_expander.py"
"co2_muy_malo","core\system\bus_expander.py"
"co2_nivel","core\system\bus_expander.py"
"co2_pobre","core\system\bus_expander.py"
"coeficiente_absorcion_beta_abs","core\system\bus_expander.py"
"coeficiente_angstrom_alpha","core\system\bus_expander.py"
"coeficiente_angstrom_beta","core\system\bus_expander.py"
"coeficiente_arrastre_CD","core\system\bus_expander.py"
"coeficiente_convectivo_hc","core\system\bus_expander.py"
"coeficiente_dispersion_beta_sca","core\system\bus_expander.py"
"coeficiente_extincion_beta_ext","core\system\bus_expander.py"
"coeficiente_psicrometrico","core\system\bus_expander.py"
"coeficiente_sustentacion_CL","core\system\bus_expander.py"
"coeficiente_transferencia_masa","core\system\bus_expander.py"
"coherencia_datos_humedad","core\system\bus_expander.py"
"coherencia_datos_presion","core\system\bus_expander.py"
"coherencia_datos_temperatura_humedad","core\system\bus_expander.py"
"coherencia_general_sensores","core\system\bus_expander.py"
"coherencia_sensores","core\system\bus_expander.py"
"condensacion_alto","core\system\bus_expander.py"
"condensacion_bajo","core\system\bus_expander.py"
"condensacion_moderado","core\system\bus_expander.py"
"condensacion_muy_alto","core\system\bus_expander.py"
"condensacion_seguro","core\system\bus_expander.py"
"condiciones_observacion","core\system\bus_expander.py"
"conductividad_aire_seco","core\system\bus_expander.py"
"conductividad_termica","core\system\bus_expander.py"
"confianza_latitud_radiacion","core\system\bus_expander.py"
"confianza_prediccion_general","core\system\bus_expander.py"
"confianza_prediccion_lluvia","core\system\bus_expander.py"
"confort_ave_interpretacion","core\system\bus_expander.py"
"confort_ave_porter_gates_0_100","core\system\bus_expander.py"
"confort_ave_score","core\system\bus_expander.py;core\system\bus_expander.py"
"confort_calido","core\system\bus_expander.py"
"confort_calor_extremo","core\system\bus_expander.py"
"confort_caluroso","core\system\bus_expander.py"
"confort_fresco","core\system\bus_expander.py"
"confort_frio","core\system\bus_expander.py"
"confort_frio_extremo","core\system\bus_expander.py"
"confort_general_aceptable","core\system\bus_expander.py"
"confort_general_bueno","core\system\bus_expander.py"
"confort_general_deficiente","core\system\bus_expander.py"
"confort_general_optimo","core\system\bus_expander.py"
"confort_interior_score","core\system\bus_expander.py"
"confort_optimo","core\system\bus_expander.py"
"confort_porcentaje_ashrae","core\system\bus_expander.py"
"constante_boltzmann","core\system\bus_expander.py;core\system\bus_expander.py"
"constante_gas_vapor","core\system\bus_expander.py"
"constante_gases_universal","core\system\bus_expander.py"
"constante_planck","core\system\bus_expander.py;core\system\bus_expander.py"
"constante_psicrometrica_gamma","core\system\bus_expander.py"
"constante_solar","core\system\bus_expander.py"
"constante_solar_fao56","core\system\bus_expander.py"
"constante_solar_fao56_wm2","core\system\bus_expander.py"
"constante_solar_gsc","core\system\bus_expander.py"
"constante_solar_w_m2","core\system\bus_expander.py"
"constante_stefan_boltzmann","core\system\bus_expander.py"
"constante_stefan_boltzmann_si","core\system\bus_expander.py"
"constante_sutherland","core\system\bus_expander.py"
"constante_universal_gases","core\system\bus_expander.py;core\system\bus_expander.py"
"constante_von_karman","core\system\bus_expander.py"
"constantes_totales_publicadas","core\system\bus_expander.py"
"conveccion_globo_W","core\system\bus_expander.py"
"correccion_radiativa","core\system\bus_expander.py"
"declinacion_solar_deg","core\system\bus_expander.py"
"declinacion_solar_grados","core\system\bus_expander.py"
"declinacion_solar_rad","core\system\bus_expander.py;core\system\bus_expander.py"
