name,found,files
"aceleracion_temperatura",1,"core\system\bus_expander.py;core\system\bus_expander_V13_BACKUP_20260202_180608.py;BACKUP_SELLO_SHA256_20260206_022119\core\system\bus_expander.py;BACKUP_SELLO_SHA256_20260206_022119\core\system\bus_expander_V13_BACKUP_20260202_180608.py;backups\system_checkpoints\v34_1_pre\core\system\bus_expander.py;backups\system_checkpoints\v34_1_post\core\system\bus_expander.py;backups\system_checkpoints\unificacion_atomica_v23_coherencia_fisica_3feb2026\core\system\bus_expander.py;backups\system_checkpoints\sistema_completo_limpio_sin_warnings_3feb2026\core\system\bus_expander.py;backups\system_checkpoints\pre_cleanup_except_pass\core\system\bus_expander.py;backups\system_checkpoints\limpieza_final_sin_chapuzas_3feb2026\core\system\bus_expander.py;backups\system_checkpoints\baseline_initial\core\system\bus_expander.py;backups\backup_V47_5_20260205_163950\core\system\bus_expander.py;backups\backup_V47_5_20260205_163950\core\system\bus_expander_V13_BACKUP_20260202_180608.py;backups\backup_V47_3_20260205_153751\core\system\bus_expander.py;backups\backup_V47_3_20260205_153751\core\system\bus_expander_V13_BACKUP_20260202_180608.py;backups\backup_V47_2_20260205_151017\core\system\bus_expander.py;backups\backup_V47_2_20260205_151017\core\system\bus_expander_V13_BACKUP_20260202_180608.py;backups\backup_V47_2_20260205_151000\core\system\bus_expander.py;backups\backup_V47_2_20260205_151000\core\system\bus_expander_V13_BACKUP_20260202_180608.py;backups\backup_pre_ia_20260202_234213\core\system\bus_expander.py;backups\backup_pre_ia_20260202_234213\core\system\bus_expander_V13_BACKUP_20260202_180608.py;backups\backup_pre_comparativa_20260202_195738\core\system\bus_expander.py;backups\backup_pre_comparativa_20260202_195738\core\system\bus_expander_V13_BACKUP_20260202_180608.py;backups\backup_pre_auditoria_20260202_193048\core\system\bus_expander.py;backups\backup_pre_auditoria_20260202_193048\core\system\bus_expander_V13_BACKUP_20260202_180608.py;backups\backup_post_auditoria_20260202_194023\core\system\bus_expander.py;backups\backup_post_auditoria_20260202_194023\core\system\bus_expander_V13_BACKUP_20260202_180608.py;backups\backup_FASE2_20260203_123611\core\system\bus_expander.py;backups\backup_FASE2_20260203_123611\core\system\bus_expander_V13_BACKUP_20260202_180608.py;backups\audit_backup_20260203_183730\core\system\bus_expander.py;backups\audit_backup_20260203_183730\core\system\bus_expander_V13_BACKUP_20260202_180608.py"
"aceleracion_viento",1,"core\system\bus_expander.py;core\system\bus_expander_V13_BACKUP_20260202_180608.py;BACKUP_SELLO_SHA256_20260206_022119\core\system\bus_expander.py;BACKUP_SELLO_SHA256_20260206_022119\core\system\bus_expander_V13_BACKUP_20260202_180608.py;backups\system_checkpoints\v34_1_pre\core\system\bus_expander.py;backups\system_checkpoints\v34_1_post\core\system\bus_expander.py;backups\system_checkpoints\unificacion_atomica_v23_coherencia_fisica_3feb2026\core\system\bus_expander.py;backups\system_checkpoints\sistema_completo_limpio_sin_warnings_3feb2026\core\system\bus_expander.py;backups\system_checkpoints\pre_cleanup_except_pass\core\system\bus_expander.py;backups\system_checkpoints\limpieza_final_sin_chapuzas_3feb2026\core\system\bus_expander.py;backups\system_checkpoints\baseline_initial\core\system\bus_expander.py;backups\backup_V47_5_20260205_163950\core\system\bus_expander.py;backups\backup_V47_5_20260205_163950\core\system\bus_expander_V13_BACKUP_20260202_180608.py;backups\backup_V47_3_20260205_153751\core\system\bus_expander.py;backups\backup_V47_3_20260205_153751\core\system\bus_expander_V13_BACKUP_20260202_180608.py;backups\backup_V47_2_20260205_151017\core\system\bus_expander.py;backups\backup_V47_2_20260205_151017\core\system\bus_expander_V13_BACKUP_20260202_180608.py;backups\backup_V47_2_20260205_151000\core\system\bus_expander.py;backups\backup_V47_2_20260205_151000\core\system\bus_expander_V13_BACKUP_20260202_180608.py;backups\backup_pre_ia_20260202_234213\core\system\bus_expander.py;backups\backup_pre_ia_20260202_234213\core\system\bus_expander_V13_BACKUP_20260202_180608.py;backups\backup_pre_comparativa_20260202_195738\core\system\bus_expander.py;backups\backup_pre_comparativa_20260202_195738\core\system\bus_expander_V13_BACKUP_20260202_180608.py;backups\backup_pre_auditoria_20260202_193048\core\system\bus_expander.py;backups\backup_pre_auditoria_20260202_193048\core\system\bus_expander_V13_BACKUP_20260202_180608.py;backups\backup_post_auditoria_20260202_194023\core\system\bus_expander.py;backups\backup_post_auditoria_20260202_194023\core\system\bus_expander_V13_BACKUP_20260202_180608.py;backups\backup_FASE2_20260203_123611\core\system\bus_expander.py;backups\backup_FASE2_20260203_123611\core\system\bus_expander_V13_BACKUP_20260202_180608.py;backups\audit_backup_20260203_183730\core\system\bus_expander.py;backups\audit_backup_20260203_183730\core\system\bus_expander_V13_BACKUP_20260202_180608.py"
"ach_minimo_dormitorio",1,"core\system\bus_expander.py;BACKUP_SELLO_SHA256_20260206_022119\core\system\bus_expander.py;backups\system_checkpoints\v34_1_pre\core\system\bus_expander.py;backups\system_checkpoints\v34_1_post\core\system\bus_expander.py;backups\system_checkpoints\unificacion_atomica_v23_coherencia_fisica_3feb2026\core\system\bus_expander.py;backups\system_checkpoints\sistema_completo_limpio_sin_warnings_3feb2026\core\system\bus_expander.py;backups\system_checkpoints\pre_cleanup_except_pass\core\system\bus_expander.py;backups\system_checkpoints\limpieza_final_sin_chapuzas_3feb2026\core\system\bus_expander.py;backups\system_checkpoints\baseline_initial\core\system\bus_expander.py;backups\backup_V47_5_20260205_163950\core\system\bus_expander.py;backups\backup_V47_3_20260205_153751\core\system\bus_expander.py;backups\backup_V47_2_20260205_151017\core\system\bus_expander.py;backups\backup_V47_2_20260205_151000\core\system\bus_expander.py;backups\backup_pre_ia_20260202_234213\core\system\bus_expander.py;backups\backup_FASE2_20260203_123611\core\system\bus_expander.py;backups\audit_backup_20260203_183730\core\system\bus_expander.py"
"ach_recomendado_bano",1,"core\system\bus_expander.py;BACKUP_SELLO_SHA256_20260206_022119\core\system\bus_expander.py;backups\system_checkpoints\v34_1_pre\core\system\bus_expander.py;backups\system_checkpoints\v34_1_post\core\system\bus_expander.py;backups\system_checkpoints\unificacion_atomica_v23_coherencia_fisica_3feb2026\core\system\bus_expander.py;backups\system_checkpoints\sistema_completo_limpio_sin_warnings_3feb2026\core\system\bus_expander.py;backups\system_checkpoints\pre_cleanup_except_pass\core\system\bus_expander.py;backups\system_checkpoints\limpieza_final_sin_chapuzas_3feb2026\core\system\bus_expander.py;backups\system_checkpoints\baseline_initial\core\system\bus_expander.py;backups\backup_V47_5_20260205_163950\core\system\bus_expander.py;backups\backup_V47_3_20260205_153751\core\system\bus_expander.py;backups\backup_V47_2_20260205_151017\core\system\bus_expander.py;backups\backup_V47_2_20260205_151000\core\system\bus_expander.py;backups\backup_pre_ia_20260202_234213\core\system\bus_expander.py;backups\backup_FASE2_20260203_123611\core\system\bus_expander.py;backups\audit_backup_20260203_183730\core\system\bus_expander.py"
"ach_recomendado_cocina",1,"core\system\bus_expander.py;BACKUP_SELLO_SHA256_20260206_022119\core\system\bus_expander.py;backups\system_checkpoints\v34_1_pre\core\system\bus_expander.py;backups\system_checkpoints\v34_1_post\core\system\bus_expander.py;backups\system_checkpoints\unificacion_atomica_v23_coherencia_fisica_3feb2026\core\system\bus_expander.py;backups\system_checkpoints\sistema_completo_limpio_sin_warnings_3feb2026\core\system\bus_expander.py;backups\system_checkpoints\pre_cleanup_except_pass\core\system\bus_expander.py;backups\system_checkpoints\limpieza_final_sin_chapuzas_3feb2026\core\system\bus_expander.py;backups\system_checkpoints\baseline_initial\core\system\bus_expander.py;backups\backup_V47_5_20260205_163950\core\system\bus_expander.py;backups\backup_V47_3_20260205_153751\core\system\bus_expander.py;backups\backup_V47_2_20260205_151017\core\system\bus_expander.py;backups\backup_V47_2_20260205_151000\core\system\bus_expander.py;backups\backup_pre_ia_20260202_234213\core\system\bus_expander.py;backups\backup_FASE2_20260203_123611\core\system\bus_expander.py;backups\audit_backup_20260203_183730\core\system\bus_expander.py"
"ach_recomendado_dormitorio",1,"core\system\bus_expander.py;BACKUP_SELLO_SHA256_20260206_022119\core\system\bus_expander.py;backups\system_checkpoints\v34_1_pre\core\system\bus_expander.py;backups\system_checkpoints\v34_1_post\core\system\bus_expander.py;backups\system_checkpoints\unificacion_atomica_v23_coherencia_fisica_3feb2026\core\system\bus_expander.py;backups\system_checkpoints\sistema_completo_limpio_sin_warnings_3feb2026\core\system\bus_expander.py;backups\system_checkpoints\pre_cleanup_except_pass\core\system\bus_expander.py;backups\system_checkpoints\limpieza_final_sin_chapuzas_3feb2026\core\system\bus_expander.py;backups\system_checkpoints\baseline_initial\core\system\bus_expander.py;backups\backup_V47_5_20260205_163950\core\system\bus_expander.py;backups\backup_V47_3_20260205_153751\core\system\bus_expander.py;backups\backup_V47_2_20260205_151017\core\system\bus_expander.py;backups\backup_V47_2_20260205_151000\core\system\bus_expander.py;backups\backup_pre_ia_20260202_234213\core\system\bus_expander.py;backups\backup_FASE2_20260203_123611\core\system\bus_expander.py;backups\audit_backup_20260203_183730\core\system\bus_expander.py"
"ach_recomendado_salon",1,"core\system\bus_expander.py;BACKUP_SELLO_SHA256_20260206_022119\core\system\bus_expander.py;backups\system_checkpoints\v34_1_pre\core\system\bus_expander.py;backups\system_checkpoints\v34_1_post\core\system\bus_expander.py;backups\system_checkpoints\unificacion_atomica_v23_coherencia_fisica_3feb2026\core\system\bus_expander.py;backups\system_checkpoints\sistema_completo_limpio_sin_warnings_3feb2026\core\system\bus_expander.py;backups\system_checkpoints\pre_cleanup_except_pass\core\system\bus_expander.py;backups\system_checkpoints\limpieza_final_sin_chapuzas_3feb2026\core\system\bus_expander.py;backups\system_checkpoints\baseline_initial\core\system\bus_expander.py;backups\backup_V47_5_20260205_163950\core\system\bus_expander.py;backups\backup_V47_3_20260205_153751\core\system\bus_expander.py;backups\backup_V47_2_20260205_151017\core\system\bus_expander.py;backups\backup_V47_2_20260205_151000\core\system\bus_expander.py;backups\backup_pre_ia_20260202_234213\core\system\bus_expander.py;backups\backup_FASE2_20260203_123611\core\system\bus_expander.py;backups\audit_backup_20260203_183730\core\system\bus_expander.py"
"actividad_rayos_proxima",1,"core\system\bus_expander_V13_BACKUP_20260202_180608.py;BACKUP_SELLO_SHA256_20260206_022119\core\system\bus_expander_V13_BACKUP_20260202_180608.py;backups\system_checkpoints\v34_1_pre\core\system\bus_expander.py;backups\system_checkpoints\v34_1_post\core\system\bus_expander.py;backups\system_checkpoints\unificacion_atomica_v23_coherencia_fisica_3feb2026\core\system\bus_expander.py;backups\system_checkpoints\sistema_completo_limpio_sin_warnings_3feb2026\core\system\bus_expander.py;backups\system_checkpoints\pre_cleanup_except_pass\core\system\bus_expander.py;backups\system_checkpoints\limpieza_final_sin_chapuzas_3feb2026\core\system\bus_expander.py;backups\system_checkpoints\baseline_initial\core\system\bus_expander.py;backups\backup_V47_5_20260205_163950\core\system\bus_expander.py;backups\backup_V47_5_20260205_163950\core\system\bus_expander_V13_BACKUP_20260202_180608.py;backups\backup_V47_3_20260205_153751\core\system\bus_expander.py;backups\backup_V47_3_20260205_153751\core\system\bus_expander_V13_BACKUP_20260202_180608.py;backups\backup_V47_2_20260205_151017\core\system\bus_expander.py;backups\backup_V47_2_20260205_151017\core\system\bus_expander_V13_BACKUP_20260202_180608.py;backups\backup_V47_2_20260205_151000\core\system\bus_expander.py;backups\backup_V47_2_20260205_151000\core\system\bus_expander_V13_BACKUP_20260202_180608.py;backups\backup_pre_ia_20260202_234213\core\system\bus_expander.py;backups\backup_pre_ia_20260202_234213\core\system\bus_expander_V13_BACKUP_20260202_180608.py;backups\backup_pre_comparativa_20260202_195738\core\system\bus_expander.py;backups\backup_pre_comparativa_20260202_195738\core\system\bus_expander_V13_BACKUP_20260202_180608.py;backups\backup_pre_auditoria_20260202_193048\core\system\bus_expander.py;backups\backup_pre_auditoria_20260202_193048\core\system\bus_expander_V13_BACKUP_20260202_180608.py;backups\backup_post_auditoria_20260202_194023\core\system\bus_expander.py;backups\backup_post_auditoria_20260202_194023\core\system\bus_expander_V13_BACKUP_20260202_180608.py;backups\backup_FASE2_20260203_123611\core\system\bus_expander.py;backups\backup_FASE2_20260203_123611\core\system\bus_expander_V13_BACKUP_20260202_180608.py;backups\audit_backup_20260203_183730\core\system\bus_expander.py;backups\audit_backup_20260203_183730\core\system\bus_expander_V13_BACKUP_20260202_180608.py"
"airmass_correccion_presion",1,"core\system\bus_expander.py;BACKUP_SELLO_SHA256_20260206_022119\core\system\bus_expander.py;backups\system_checkpoints\v34_1_pre\core\system\bus_expander.py;backups\system_checkpoints\v34_1_post\core\system\bus_expander.py;backups\system_checkpoints\unificacion_atomica_v23_coherencia_fisica_3feb2026\core\system\bus_expander.py;backups\system_checkpoints\sistema_completo_limpio_sin_warnings_3feb2026\core\system\bus_expander.py;backups\system_checkpoints\pre_cleanup_except_pass\core\system\bus_expander.py;backups\system_checkpoints\limpieza_final_sin_chapuzas_3feb2026\core\system\bus_expander.py;backups\system_checkpoints\baseline_initial\core\system\bus_expander.py;backups\backup_V47_5_20260205_163950\core\system\bus_expander.py;backups\backup_V47_3_20260205_153751\core\system\bus_expander.py;backups\backup_V47_2_20260205_151017\core\system\bus_expander.py;backups\backup_V47_2_20260205_151000\core\system\bus_expander.py;backups\backup_pre_ia_20260202_234213\core\system\bus_expander.py;backups\backup_pre_comparativa_20260202_195738\core\system\bus_expander.py;backups\backup_pre_auditoria_20260202_193048\core\system\bus_expander.py;backups\backup_post_auditoria_20260202_194023\core\system\bus_expander.py;backups\backup_FASE2_20260203_123611\core\system\bus_expander.py;backups\audit_backup_20260203_183730\core\system\bus_expander.py"
"albedo_agua",1,"core\system\bus_expander.py;BACKUP_SELLO_SHA256_20260206_022119\core\system\bus_expander.py;backups\system_checkpoints\v34_1_pre\core\system\bus_expander.py;backups\system_checkpoints\v34_1_post\core\system\bus_expander.py;backups\system_checkpoints\unificacion_atomica_v23_coherencia_fisica_3feb2026\core\system\bus_expander.py;backups\system_checkpoints\sistema_completo_limpio_sin_warnings_3feb2026\core\system\bus_expander.py;backups\system_checkpoints\pre_cleanup_except_pass\core\system\bus_expander.py;backups\system_checkpoints\limpieza_final_sin_chapuzas_3feb2026\core\system\bus_expander.py;backups\system_checkpoints\baseline_initial\core\system\bus_expander.py;backups\backup_V47_5_20260205_163950\core\system\bus_expander.py;backups\backup_V47_3_20260205_153751\core\system\bus_expander.py;backups\backup_V47_2_20260205_151017\core\system\bus_expander.py;backups\backup_V47_2_20260205_151000\core\system\bus_expander.py;backups\backup_pre_ia_20260202_234213\core\system\bus_expander.py;backups\backup_FASE2_20260203_123611\core\system\bus_expander.py;backups\audit_backup_20260203_183730\core\system\bus_expander.py"
