name,reason
"actividad_rayos_proxima","solo_en_backups"
"alerta_calor_activa","solo_en_backups"
"alerta_calor_componente_humedad","solo_en_backups"
"alerta_calor_componente_temperatura","solo_en_backups"
"alerta_calor_componente_uv","solo_en_backups"
"alerta_calor_extremo_score","solo_en_backups"
"alerta_frio_activa","solo_en_backups"
"alerta_frio_componente_temperatura","solo_en_backups"
"alerta_frio_componente_viento","solo_en_backups"
"alerta_frio_extremo_score","solo_en_backups"
"alerta_helada_radiativa_activa","solo_en_backups"
"alerta_helada_radiativa_score","solo_en_backups"
"alerta_niebla_activa","solo_en_backups"
"alerta_niebla_diferencial_td","solo_en_backups"
"alerta_niebla_score","solo_en_backups"
"alerta_polvo_activa","solo_en_backups"
"alerta_polvo_componente_pm10","solo_en_backups"
"alerta_polvo_componente_pm25","solo_en_backups"
"alerta_polvo_componente_viento","solo_en_backups"
"alerta_polvo_score","solo_en_backups"
"alerta_rachas_activa","solo_en_backups"
"alerta_rachas_peligrosas_score","solo_en_backups"
"alerta_rayos_activa","solo_en_backups"
"alerta_rayos_score","solo_en_backups"
"alerta_tormenta_componente_humedad","solo_en_backups"
"alerta_tormenta_componente_presion","solo_en_backups"
"alerta_tormenta_componente_radiacion","solo_en_backups"
"angulo_horario_amanecer","solo_en_backups"
"angulo_horario_solar","solo_en_backups"
"ascension_recta_solar","solo_en_backups"
"año","no_implementado"
"declinacion_solar","solo_en_backups"
"declinacion_solar_simple","solo_en_backups"
"delta_t_atomico","solo_en_backups"
"dias_desde_luna_nueva","solo_en_backups"
"dias_helada_acumulados_año","no_implementado"
"diferencia_presion_altitud","solo_en_backups"
"elevacion_solar_estimada","solo_en_backups"
"emis ividad_cuerpo_humano","no_implementado"
"emis ividad_cuerpo_negro","no_implementado"
"es_año_bisiesto","no_implementado"
"exponente_barometrico","solo_en_backups"
"factor_multiplicador_presion","solo_en_backups"
"k_index","solo_en_backups"
"k_index_categoria","solo_en_backups"
"presion_critica_agua","solo_en_backups"
"presion_nivel_mar_calculada","solo_en_backups"
"refraccion_atmosferica","solo_en_backups"
"richardson_number","solo_en_backups"
"tau_wagner","solo_en_backups"
"temperatura_critica_agua","solo_en_backups"
"temperatura_virtual_laplace","solo_en_backups"
"umbral_alerta_tormenta","solo_en_backups"
"umbral_calor","solo_en_backups"
"umbral_calor_extremo","solo_en_backups"
"umbral_frio","solo_en_backups"
"umbral_frio_extremo","solo_en_backups"
"umbral_helada","solo_en_backups"
"umbral_presion_baja","solo_en_backups"
"umbral_rachas_peligrosas","solo_en_backups"
"utci_categoria_estrés","no_implementado"
"velocidad_rachas_detectada","solo_en_backups"
"wbgt_absorptivity_globe","solo_en_backups"
"wbgt_diameter_wick","solo_en_backups"
"wbgt_emis_globe","solo_en_backups"
"wbgt_emis_wick","solo_en_backups"
"wbgt_liljegren","solo_en_backups"
"wbgt_liljegren_c","solo_en_backups"
"wbgt_peso_tg_indoor","solo_en_backups"
"wbgt_peso_tnwb_indoor","solo_en_backups"
"wbgt_sigma_stefan_boltzmann","solo_en_backups"
"wbgt_ta_component","solo_en_backups"
