name,is_duplicated,cluster_id,cluster_members
aceleracion_temperatura,False,,
aceleracion_viento,False,,
ach_minimo_dormitorio,False,,
ach_recomendado_bano,True,3,ach_recomendado_bano;ach_recomendado_cocina;ach_recomendado_salon
ach_recomendado_cocina,True,3,ach_recomendado_bano;ach_recomendado_cocina;ach_recomendado_salon
ach_recomendado_dormitorio,False,,
ach_recomendado_salon,True,3,ach_recomendado_bano;ach_recomendado_cocina;ach_recomendado_salon
actividad_rayos_proxima,False,,
airmass_correccion_presion,False,,
albedo_agua,False,,
albedo_base_cobertura,False,,
albedo_cesped,False,,
albedo_cultivo_verde,False,,
albedo_dinamico,False,,
albedo_nieve_fresca,False,,
albedo_nieve_vieja,False,,
albedo_suelo_desnudo,False,,
albedo_superficie,False,,
alerta_calor_activa,True,38,alerta_calor_activa;alerta_frio_activa;alerta_polvo_activa;alerta_rachas_activa;alerta_rayos_activa
alerta_calor_componente_humedad,True,19,alerta_calor_componente_humedad;alerta_calor_componente_uv;alerta_tormenta_componente_humedad;alerta_tormenta_componente_presion;alerta_tormenta_componente_radiacion
alerta_calor_componente_temperatura,True,20,alerta_calor_componente_temperatura;alerta_frio_componente_temperatura
alerta_calor_componente_uv,True,19,alerta_calor_componente_humedad;alerta_calor_componente_uv;alerta_tormenta_componente_humedad;alerta_tormenta_componente_presion;alerta_tormenta_componente_radiacion
alerta_calor_extremo_score,True,22,alerta_calor_extremo_score;alerta_frio_extremo_score
alerta_frio_activa,True,38,alerta_calor_activa;alerta_frio_activa;alerta_polvo_activa;alerta_rachas_activa;alerta_rayos_activa
alerta_frio_componente_temperatura,True,20,alerta_calor_componente_temperatura;alerta_frio_componente_temperatura
alerta_frio_componente_viento,True,33,alerta_frio_componente_viento;alerta_polvo_componente_pm10;alerta_polvo_componente_pm25;alerta_polvo_componente_viento
alerta_frio_extremo_score,True,22,alerta_calor_extremo_score;alerta_frio_extremo_score
alerta_helada_radiativa_activa,True,27,alerta_helada_radiativa_activa;alerta_helada_radiativa_score
alerta_helada_radiativa_score,True,27,alerta_helada_radiativa_activa;alerta_helada_radiativa_score
alerta_niebla_activa,False,,
alerta_niebla_diferencial_td,False,,
alerta_niebla_score,False,,
alerta_polvo_activa,True,38,alerta_calor_activa;alerta_frio_activa;alerta_polvo_activa;alerta_rachas_activa;alerta_rayos_activa
alerta_polvo_componente_pm10,True,33,alerta_frio_componente_viento;alerta_polvo_componente_pm10;alerta_polvo_componente_pm25;alerta_polvo_componente_viento
alerta_polvo_componente_pm25,True,33,alerta_frio_componente_viento;alerta_polvo_componente_pm10;alerta_polvo_componente_pm25;alerta_polvo_componente_viento
alerta_polvo_componente_viento,True,33,alerta_frio_componente_viento;alerta_polvo_componente_pm10;alerta_polvo_componente_pm25;alerta_polvo_componente_viento
alerta_polvo_draxler_score,False,,
alerta_polvo_score,False,,
alerta_rachas_activa,True,38,alerta_calor_activa;alerta_frio_activa;alerta_polvo_activa;alerta_rachas_activa;alerta_rayos_activa
alerta_rachas_peligrosas_score,False,,
alerta_rayos_activa,True,38,alerta_calor_activa;alerta_frio_activa;alerta_polvo_activa;alerta_rachas_activa;alerta_rayos_activa
alerta_rayos_score,False,,
alerta_tormenta_activa,False,,
alerta_tormenta_componente_humedad,True,19,alerta_calor_componente_humedad;alerta_calor_componente_uv;alerta_tormenta_componente_humedad;alerta_tormenta_componente_presion;alerta_tormenta_componente_radiacion
alerta_tormenta_componente_presion,True,19,alerta_calor_componente_humedad;alerta_calor_componente_uv;alerta_tormenta_componente_humedad;alerta_tormenta_componente_presion;alerta_tormenta_componente_radiacion
