subfactor,file,line
ai_orchestrator_start_time,core\ai\orchestrator.py,86
ai_orchestrator_status,core\ai\orchestrator.py,84
ai_orchestrator_status,core\ai\orchestrator.py,245
ai_orchestrator_status,core\ai\orchestrator.py,261
ai_orchestrator_version,core\ai\orchestrator.py,85
ai_tasks_completed,core\ai\orchestrator.py,178
ai_tasks_failed,core\ai\orchestrator.py,179
ai_uptime_seconds,core\ai\orchestrator.py,181
alert,core\system\observability_engine.py,59
alerta_integridad_critica,WATCHDOG_INTEGRIDAD_V43_1.py,149
alerta_integridad_critica,WATCHDOG_INTEGRIDAD_V43_1.py,183
altura_sensor_efectiva_m,core\sensors\sensor_virtual_altura.py,66
autocalibration_estado,core\indices\integracion_elite_motors_v25.py,116
capa_limite,core\indices\integracion_elite_motors_v25.py,104
datos.historico.recuperado,integrador_datos_recuperados.py,99
datos.recuperados.gap,core\integration\integrador_always_on.py,424
elevacion_sensor_m,core\sensors\sensor_virtual_altura.py,92
elevacion_suelo_m,core\sensors\sensor_virtual_altura.py,84
flujo_calor,core\indices\environmental_indices.py,3929
forense_estado,core\indices\integracion_elite_motors_v25.py,119
ia_approval,core\ia\suggest_engine.py,46
ia_rejection,core\ia\suggest_engine.py,58
ia_suggestion,core\ia\suggest_engine.py,24
kappa_suelo,core\indices\environmental_indices.py,5062
longitud_obukhov,core\indices\environmental_indices.py,3925
masas_de_aire,core\indices\integracion_elite_motors_v25.py,101
metrics_summary,core\system\observability_engine.py,72
nubosidad,core\indices\environmental_indices.py,2834
opacidad_nubes,core\indices\integracion_elite_motors_v25.py,110
radiacion_neta,core\indices\environmental_indices.py,5060
rugosidad_z0_m,core\sensors\sensor_virtual_altura.py,75
sistema.eventos.recuperacion,integrador_datos_recuperados.py,114
temp_superficie,core\indices\environmental_indices.py,5061
temperatura_suelo,core\indices\integracion_elite_motors_v25.py,107
u_star,core\indices\environmental_indices.py,3927
utci,core\system\bus_expander.py,2983
utci,core\system\bus_expander.py,2990
utci_clothing_factor,core\indices\environmental_indices.py,5338
utci_evaporative_cooling,core\indices\environmental_indices.py,5337
utci_latent_heat_loss,core\indices\environmental_indices.py,5335
utci_metabolic_rate,core\indices\environmental_indices.py,5333
utci_moisture_adjustment,core\indices\environmental_indices.py,5341
utci_operative_temp,core\indices\environmental_indices.py,5332
utci_radiation_adjustment,core\indices\environmental_indices.py,5340
utci_radiation_heat_loss,core\indices\environmental_indices.py,5336
utci_sensible_heat_loss,core\indices\environmental_indices.py,5334
utci_tmrt_input,core\indices\environmental_indices.py,5330
utci_vapor_pressure,core\indices\environmental_indices.py,5331
utci_wind_adjustment,core\indices\environmental_indices.py,5339
vector_aproximacion,core\indices\integracion_elite_motors_v25.py,129
ventilacion_tactica,core\indices\integracion_elite_motors_v25.py,113
visibilidad_bucholtz_v25,core\indices\integracion_elite_motors_v25.py,123
watchdog_integridad_ok,WATCHDOG_INTEGRIDAD_V43_1.py,152
watchdog_intervalo_segundos,WATCHDOG_INTEGRIDAD_V43_1.py,198
watchdog_modo_patrulla,WATCHDOG_INTEGRIDAD_V43_1.py,197
watchdog_modo_patrulla,WATCHDOG_INTEGRIDAD_V43_1.py,204
watchdog_violaciones,WATCHDOG_INTEGRIDAD_V43_1.py,153
wbgt_dew_point,core\indices\environmental_indices.py,5365
wbgt_diameter_globe,core\indices\environmental_indices.py,5372
wbgt_emissivity_globe,core\indices\environmental_indices.py,5371
wbgt_heat_capacity_globe,core\indices\environmental_indices.py,5373
wbgt_heat_index,core\indices\environmental_indices.py,5368
wbgt_indoor,core\indices\environmental_indices.py,5367
wbgt_outdoor,core\indices\environmental_indices.py,5366
wbgt_radiation_input,core\indices\environmental_indices.py,5374
wbgt_solar_absorbance,core\indices\environmental_indices.py,5370
wbgt_tg,core\indices\environmental_indices.py,5357
wbgt_tg_convection,core\indices\environmental_indices.py,5362
wbgt_tg_liljegren,core\indices\environmental_indices.py,5360
wbgt_tg_radiation,core\indices\environmental_indices.py,5363
wbgt_tg_solar,core\indices\environmental_indices.py,5361
wbgt_twb,core\indices\environmental_indices.py,5356
wbgt_twb_steadman,core\indices\environmental_indices.py,5359
wbgt_twb_stull,core\indices\environmental_indices.py,5358
wbgt_vapor_pressure,core\indices\environmental_indices.py,5364
wbgt_wind_chill,core\indices\environmental_indices.py,5369
zeta,core\indices\environmental_indices.py,3923
